Client,Project,Sample_Number,Client_Sample_ID,Source,lake.name,NWIS_Station_ID,Date_Sampled,Sample_Type,Collection_Method,Temp,Stage,Record_Number,Sample_Depth,Acid Neutralizing Capacity,Air-equilibrated pH,NH4+,Calcium,Chloride,Chlorophyll a,Dissolved Inorganic Carbon,Dissolved Organic Carbon,Filtered Aluminum,Filtered Calcium,Filtered Iron,Filtered Magnesium,Filtered Potassium,Filtered Silicon,Filtered Sodium,Magnesium,Nitrate,Organic Monomeric Aluminum,pH,Potassium,Silicon,Sodium,Specific Conductance,Sulfate,Total Aluminum,Total Monomeric Aluminum,UV254
USGS Watersheds Group,ALTM,106354-01,64128,20059,Big Hope Pond,4272643,4/4/2018 8:45,Regular,Kemmerer,1.6,,,0.5,57.71298599,6.616943359,7.710000038,30.88181114,13.31669998,0.360000014,165.5458527,519.4425049,8.066046715,,,,,,,12.61452103,10.66209984,0.885999978,5.916518688,6.87109375,24.82056236,24.87879372,14.31999969,11.5053997,2.579998016,1.220000029,0.225999996
USGS Watersheds Group,ALTM,106411-01,64427,20059,Big Hope Pond,4272643,5/3/2018 8:45,Regular,Kemmerer,4,,,0.5,83.54547882,6.568024158,0.828999996,43.02780914,15.97949982,1.00999999,206.4098663,747.4083862,5.71454668,,,,,,,17.82192993,5.69329977,1.549999952,5.965307236,8.484128952,46.88354874,32.63030243,17.79999924,13.98560047,7.341241837,1.970000029,0.367000014
USGS Watersheds Group,ALTM,106496-04,64755,20059,Big Hope Pond,4272643,7/19/2018 10:10,Regular,Kemmerer,23.6,,1802383,0.5,96.33681488,6.546502113,1.419999957,44.17987823,18.99720001,,71.78677368,827.2047729,11.60417557,,,,,,,20.11869812,0,0.596000016,6.22102499,10.05466461,15.59033585,37.86834335,18.30999947,13.05539989,4.598529816,1.139999986,0.328000009
USGS Watersheds Group,ALTM,106591-01,65093,20059,Big Hope Pond,4272643,9/19/2018 8:45,Regular,Kemmerer,20.6,,1803456,0.5,37.89394379,6.445691109,0.342999995,43.03703308,19.02120018,,87.70608521,728.1586304,2.36874795,,,,,,,20.06318855,0,0.648999989,6.351509571,8.074699402,3.988543272,36.83692169,17.34000015,11.14080048,3.080190182,1.080000043,0.294
USGS Watersheds Group,ALTM,106678-01,65411,20059,Big Hope Pond,4272643,11/19/2018 10:00,Regular,Manual,2.3,,1900262,0,58.31161118,6.416973114,0.916000009,51.06521988,18.68770027,,101.3940277,828.6784668,3.929010153,,,,,,,22.80945587,0.501800001,0.98299998,6.175827503,12.92472744,37.966259,39.97613907,18.76000023,14.55980015,4.188708305,1.360000014,0.365999997
USGS Watersheds Group,ALTM,106722-01,65540,20059,Big Hope Pond,4272643,2/4/2019 11:40,Regular,Kemmerer,0.8,,1900642,0.5,81.5391922,6.239396572,2.99000001,47.6483345,17.4029007,,174.3297882,787.6229248,4.146728516,,,,,,,20.81980324,2.704099894,0.361999989,6.200073719,9.074211121,38.24503708,36.66598511,19.37999916,16.12599945,4.346336365,0.81099999,0.35800001
USGS Watersheds Group,ALTM,106782-01,65747,20059,Big Hope Pond,4272643,4/9/2019 8:40,Regular,Kemmerer,1.1,,1901171,0.5,62.82938004,6.573305607,2.640000105,45.43156052,17.79800034,,211.3888092,776.0164795,4.270030499,,,,,,,20.20024109,7.477799892,1.820000052,6.050540924,8.939692497,40.06511307,35.87936783,19.36000061,15.95240021,3.918576479,2.210000038,0.344000012
USGS Watersheds Group,ALTM,106828-01,65930,20059,Big Hope Pond,4272643,5/7/2019 8:45,Triplicate,Kemmerer,12.5,,1901257,0.5,56.06037521,6.546909332,1.480000019,41.55316162,16.51650047,,132.9911957,738.9075317,4.71897316,,,,,,,18.70875168,4.481900215,2.220000029,6.085787773,8.635897636,50.44523239,33.78598785,17.87000084,15.24520016,4.857125282,2.470000029,0.367000014
USGS Watersheds Group,ALTM,106828-02,65931,20059,Big Hope Pond,4272643,5/7/2019 8:48,Triplicate,Kemmerer,12.5,,1901258,0.5,59.1345787,6.575117111,1.039999962,40.61188889,16.57920074,,124.3404846,741.8049927,4.553318024,,,,,,,18.73301125,4.506299973,2.069999933,6.129072189,8.392723083,50.69293213,33.31232071,17.95000076,15.02439976,4.756568432,2.339999914,0.363999993
USGS Watersheds Group,ALTM,106828-03,65932,20059,Big Hope Pond,4272643,5/7/2019 8:51,Triplicate,Kemmerer,12.5,,1901259,0.5,45.62417984,6.563914776,1.720000029,42.37139893,17.07069969,,121.6095581,735.3106689,4.406224728,,,,,,,18.6930809,4.628600121,2.190000057,6.069848537,8.450102806,50.57279587,34.06415939,17.85000038,15.54679966,5.019468784,2.430000067,0.363999993
USGS Watersheds Group,ALTM,106904-04,66198,20059,Big Hope Pond,4272643,7/8/2019 11:30,Regular,Kemmerer,24.8,,1901854,0.5,71.95425415,6.753435135,1.100000024,42.78661346,19.40410042,,67.51553345,833.9738159,3.968737364,,,,,,,19.65804672,0,1.309999943,6.340755463,8.754039764,33.29932785,38.14389038,16.90999985,9.294099808,4.642608643,1.519999981,0.400000006
USGS Watersheds Group,ALTM,106996-01,66449,20059,Big Hope Pond,4272643,9/10/2019 8:35,Regular,Kemmerer,17.5,,1902576,0.5,49.30713654,6.816144943,3.480000019,41.17946625,19.83399963,,95.6574173,798.7964478,2.638236284,,,,,,,19.5869236,0.917800009,0.832000017,6.248705864,8.045061111,11.60691643,37.45550919,17.20000076,9.572899818,3.190458775,1.25,0.344999999
USGS Watersheds Group,ALTM,107088-01,66719,20059,Big Hope Pond,4272643,11/7/2019 9:25,Regular,Kemmerer,6.6,,2000385,0.5,79.68501282,6.936861038,1.75999999,44.39216995,17.7682991,,180.0664063,794.6084595,3.799735785,,,,,,,20.42935944,0.269199997,1.960000038,6.127976894,8.077225685,32.17113876,35.11433792,17.51000023,15,4.725924492,2.299999952,0.361000001
USGS Watersheds Group,ALTM,107145-01,67038,20059,Big Hope Pond,4272643,2/18/2020 9:50,Regular,Kemmerer,1.1,,2001008,0.5,,,,,19.43650055,,183.1886444,,,,,,,,,,5.636099815,2.230000019,,,,,,16.11510086,,2.660000086,0.351999998
USGS Watersheds Group,ALTM,106140-04,63433,20126,Little Echo Pond,4272132,10/5/2017 12:15,Regular,Kemmerer,14.7,,,0.5,-94.91217041,4.281085968,0.805000007,7.614751339,10.17099953,7.940000057,104.2914734,1528.953369,4.212669373,,,,,,,8.957242012,0,1.539999962,4.41990757,5.697529316,1.740177631,11.99380016,22.10000038,5.368000031,2.64405179,2.130000114,0.888999999
USGS Watersheds Group,ALTM,106194-05,63720,20126,Little Echo Pond,4272132,11/13/2017 13:55,Triplicate,Kemmerer,5.2,,,0.5,-42.57985687,4.527798653,10.39999962,15.52841282,11.91899967,12.52000046,245.9417114,1699.436523,5.394337654,,,,,,,12.1418829,0.211099997,2.299999952,4.43636322,7.259912968,15.10453701,12.72455978,22.39999962,6.233699799,3.208084106,2.670000076,1.023000002
USGS Watersheds Group,ALTM,106194-06,63721,20126,Little Echo Pond,4272132,11/13/2017 13:57,Triplicate,Kemmerer,5.2,,,0.5,-46.05385971,4.514400959,9.81000042,15.89042377,10.57279968,9.800000191,241.0626831,1721.592041,4.137744427,,,,,,,11.93258953,0.324000001,2.279999971,4.424334049,7.13734293,14.94515038,12.48775196,22.70000076,6.183400154,3.658644199,2.660000086,1.029000044
USGS Watersheds Group,ALTM,106194-07,63722,20126,Little Echo Pond,4272132,11/13/2017 13:59,Triplicate,Kemmerer,5.2,,,0.5,-49.57551575,4.514586926,10.60000038,15.4456501,10.52750015,13.90999985,236.1003876,1721.367188,6.414612293,,,,,,,12.17848587,0,2.24000001,4.432425499,7.321835995,14.88688946,12.5128231,22.5,6.772399902,3.405338764,2.630000114,1.034999967
USGS Watersheds Group,ALTM,106221-04,63812,20126,Little Echo Pond,4272132,12/7/2017 12:58,Regular,Kemmerer,2.9,,,0.5,-56.66903687,4.54047966,11.80000019,16.1686573,14.59959984,4.170000076,269.0380249,1739.42627,5.643566608,,,,,,,12.35122871,0.366100013,2.390000105,4.475266457,7.470013618,15.09259701,13.32988167,22.10000038,6.467100143,3.298110723,2.779999971,1.037999988
USGS Watersheds Group,ALTM,106299-05,63951,20126,Little Echo Pond,4272132,2/7/2018 15:00,Triplicate,Manual,0.3,,,0.5,-26.01008034,4.451327324,6.46999979,9.256261826,13.98060036,0.079999998,318.4944763,925.0186157,1.549168825,,,,,,,9.548705101,0.863799989,1.080000043,4.571543217,4.879281998,6.108691216,15.03272343,18.19000053,13.39920044,1.216272473,1.299999952,0.469999999
USGS Watersheds Group,ALTM,106299-06,63952,20126,Little Echo Pond,4272132,2/7/2018 15:03,Triplicate,Kemmerer,0.3,,,0.5,-40.36030579,4.358918667,7.599999905,10.40776253,13.66800022,1.389999986,326.7288818,1052.389771,2.151320696,,,,,,,10.02082443,0.921899974,1.159999967,4.540322304,5.180922031,6.726176739,15.25642681,18.98999977,12.33090019,1.604159832,1.399999976,0.545000017
USGS Watersheds Group,ALTM,106299-07,63953,20126,Little Echo Pond,4272132,2/7/2018 15:06,Triplicate,Kemmerer,0.3,,,0.5,-57.51809311,4.334810734,6.650000095,9.545194626,14.14659977,2.279999971,321.0172424,970.8365479,1.507675052,,,,,,,9.352066994,0.839299977,0.976000011,4.545210838,4.854450226,5.855677128,14.88044834,18.57999992,12.8057003,1.359423876,1.220000029,0.495999992
USGS Watersheds Group,ALTM,106341-02,64126,20126,Little Echo Pond,4272132,4/3/2018 9:34,Regular,Kemmerer,1.5,,,0.5,-22.32777786,4.51444912,8.239999771,9.683196068,11.70230007,16.23999977,425.933197,1436.959351,2.975274801,,,,,,,10.77473354,0.701900005,1.679999948,4.482795238,7.215869904,12.10093975,14.06712246,22.39999962,7.817599773,2.347340107,1.879999995,0.801999986
USGS Watersheds Group,ALTM,106415-04,64470,20126,Little Echo Pond,4272132,5/10/2018 10:33,Regular,Kemmerer,12.4,,,0.5,-19.27706528,4.591113567,0.559000015,6.441305637,9.7833004,15.42000008,111.9930267,971.6358643,0.629239798,,,,,,,6.266624928,0,1.230000019,4.526138783,4.623831272,2.620401382,10.57132244,18.46999931,7.384600163,1.679274082,1.460000038,0.497999996
USGS Watersheds Group,ALTM,106484-03,64743,20126,Little Echo Pond,4272132,7/17/2018 12:15,Regular,Kemmerer,24.1,,1802374,0.5,-45.01408768,4.418194294,0.68900001,7.262707233,11.46800041,,36.55946732,1220.466675,1.703663707,,,,,,,6.584069729,0,1.320000052,4.382810116,5.371977806,1.86936307,13.03260803,21.29999924,6.216899872,2.339283943,1.909999967,0.592000008
USGS Watersheds Group,ALTM,106567-02,65014,20126,Little Echo Pond,4272132,9/4/2018 10:15,Regular,Kemmerer,23,,1803196,0.5,-62.95864487,4.357928276,0.615999997,6.345460415,11.71780014,4.599999905,63.9103775,1273.986206,2.568990707,,,,,,,6.430725574,0,1.970000029,4.363991737,4.617395878,6.371116161,13.17625618,22.89999962,6.227300167,2.013948679,2.519999981,0.623000026
USGS Watersheds Group,ALTM,106684-02,65435,20126,Little Echo Pond,4272132,11/27/2018 11:40,Regular,Kemmerer,2.2,,1900268,0.5,-40.26618195,4.092029095,2.74000001,13.88458347,10.99069977,,194.7701111,1652.094849,2.507860899,,,,,,,10.86908245,0.315299988,2.109999895,4.385839939,6.81317091,18.81938362,12.74862576,23.89999962,7.724100113,2.453607082,2.680000067,0.828999996
USGS Watersheds Group,ALTM,106735-02,65571,20126,Little Echo Pond,4272132,2/7/2019 13:10,Triplicate,Kemmerer,1.8,,1900652,0.5,-44.28078461,4.176727295,8.390000343,10.05642033,12.55420017,,308.6864624,1423.163208,2.427165985,,,,,,,9.848706245,5.957399845,1.75,4.391539097,5.698765278,15.51691437,13.07690716,25.29999924,10.49660015,2.802830219,2.25,0.699999988
USGS Watersheds Group,ALTM,106735-03,65592,20126,Little Echo Pond,4272132,2/7/2019 13:13,Triplicate,Kemmerer,1.8,,1900653,0.5,-48.00854874,4.123980522,6.639999866,10.76011562,12.7208004,,278.3298645,1220.042114,1.994408965,,,,,,,8.780341148,7.566699982,1.919999957,4.424325466,5.080713749,12.80733299,12.91420174,24.39999962,10.92560005,2.422884464,2.220000029,0.593999982
USGS Watersheds Group,ALTM,106735-04,65613,20126,Little Echo Pond,4272132,2/7/2019 13:16,Regular,Kemmerer,1.8,,1900654,0.5,-29.35042,4.222276211,7.25,9.338773727,13.47399998,,255.8496552,1094.710815,2.18362689,,,,,,,8.217954636,9.02270031,1.570000052,4.379158974,4.964731693,11.67091846,13.31111908,23.79999924,11.69859982,2.095200777,1.769999981,0.523999989
USGS Watersheds Group,ALTM,106797-02,65816,20126,Little Echo Pond,4272132,4/15/2019 9:45,Regular,Kemmerer,1.5,,1901205,0.5,-26.87567711,4.714372158,0.662999988,4.592076778,11.3039999,,296.7636108,925.984436,1.324552059,,,,,,,8.458089828,0,1.690000057,4.658016682,4.310670853,7.797147274,13.14581203,17.26000023,8.40170002,1.481120825,1.840000033,0.446999997
USGS Watersheds Group,ALTM,106848-02,65981,20126,Little Echo Pond,4272132,5/16/2019 13:45,Regular,Kemmerer,12.7,,1901432,0.5,-30.63114548,4.494144917,1.019999981,4.622367859,11.41279984,,35.7518425,862.4071045,1.399176836,,,,,,,6.558350086,0,1.039999962,4.488781929,3.054834127,4.299029827,12.97883129,20.10000038,8.359700203,1.430926919,1.139999986,0.456999987
USGS Watersheds Group,ALTM,106890-02,66196,20126,Little Echo Pond,4272132,7/2/2019 9:35,Regular,Kemmerer,23,,1901792,0.5,-13.34697437,4.493467808,0.254000008,5.437051296,11.71870041,,96.90631104,1026.870605,1.360202074,,,,,,,7.02165556,0,1.360000014,4.486319542,4.151340008,0.890492558,14.70665836,19.88999939,5.811100006,1.467242837,1.669999957,0.555000007
USGS Watersheds Group,ALTM,107009-04,66535,20126,Little Echo Pond,4272132,9/19/2019 13:20,Regular,Kemmerer,16.8,,1902686,0.5,-41.82821274,4.380511761,1.320000052,4.567044735,11.85359955,,107.3637695,1415.88623,1.71869123,,,,,,,8.041518211,0,1.970000029,4.367751598,4.747111797,6.171274662,13.70925045,24.60000038,6.536099911,1.87536335,2.349999905,0.680999994
USGS Watersheds Group,ALTM,107089-02,66720,20126,Little Echo Pond,4272132,11/6/2019 13:45,Triplicate,Kemmerer,7.1,,2000382,0.5,-42.6327095,4.566903114,5.5,13.42516327,11.62639999,,225.759491,1653.743408,2.34633112,,,,,,,11.62494564,0.30250001,2.839999914,4.489159584,6.550362587,19.38747787,13.04441833,22,3.588399887,2.546055555,3.299999952,0.841000021
USGS Watersheds Group,ALTM,107089-03,66721,20126,Little Echo Pond,4272132,11/6/2019 13:48,Triplicate,Kemmerer,,,2000383,0.5,-51.47338867,4.522375107,5.929999828,13.39267254,11.82970047,,217.391861,1629.831177,2.402341366,,,,,,,11.52397728,0.332199991,2.859999895,4.478582859,6.548311234,19.880476,13.22684288,21,3.552099943,2.532746077,3.349999905,0.836000025
USGS Watersheds Group,ALTM,107089-04,66722,20126,Little Echo Pond,4272132,11/6/2019 13:51,Triplicate,Kemmerer,,,2000384,0.5,-29.16696739,4.545488358,5.699999809,13.34189415,11.72970009,,223.7862244,1640.088745,2.534997702,,,,,,,11.43887997,0.322299987,2.880000114,4.484957218,6.100675106,19.67704582,13.15549755,21.79999924,3.636800051,2.527808189,3.269999981,0.828999996
USGS Watersheds Group,ALTM,107138-02,67005,20126,Little Echo Pond,4272132,2/6/2020 10:58,Regular,Kemmerer,1.8,,2000926,0.5,,,,11.79917145,12.49549961,,329.8761292,1402.939331,,,,,,,,11.58700466,0.973500013,3.170000076,,5.724798203,16.38695908,16.63613701,,6.222700119,1.991122723,3.269999981,0.726999998
USGS Watersheds Group,ALTM,106194-04,63684,20138,East Copperas Pond,4272118,11/13/2017 13:22,Regular,Manual,4.8,1.68,,0,-2.795516729,4.752083302,13.69999981,15.29929256,4.336699963,2.99000001,173.9884186,910.8227539,6.825295448,,,,,,,4.957720757,0.393999994,1.230000019,4.826236725,7.86475563,22.0228157,5.87257719,11.85999966,6.38710022,3.055579901,1.870000005,0.485000014
USGS Watersheds Group,ALTM,106299-04,63949,20138,East Copperas Pond,4272118,2/7/2018 14:08,Regular,Kemmerer,0.8,,,0.5,-16.42520714,4.745579243,18.89999962,17.70399094,6.668300152,9.029999733,157.9525452,1077.151245,10.31972218,,,,,,,5.634025097,4.979199886,1.659999967,4.840949535,9.090544701,22.14621735,8.663004875,14,9.133899689,2.408764839,2.130000114,0.556999981
USGS Watersheds Group,ALTM,106341-01,64125,20138,East Copperas Pond,4272118,4/3/2018 8:48,Regular,Manual,-0.1,,,0,-18.40517616,4.53101778,11.60000038,13.56547165,5.793000221,5.989999771,176.9524841,1207.786255,3.305642366,,,,,,,4.39273119,2.850600004,2.549999952,4.504012108,7.035345078,22.31212234,6.774778366,20.39999962,7.881299973,3.157854319,2.619999886,0.663999975
USGS Watersheds Group,ALTM,106415-01,64420,20138,East Copperas Pond,4272118,5/10/2018 9:25,Triplicate,Manual,16.1,1.36,,0,0.096708879,4.851004601,1.289999962,12.76142025,4.543200016,13.32999992,79.23021698,882.6392822,2.235247374,,,,,,,4.113203049,0.368299991,1.139999986,4.704133511,6.38867712,15.68802357,5.393157005,14.13000011,5.657800198,2.37076664,1.50999999,0.458999991
USGS Watersheds Group,ALTM,106415-02,64421,20138,East Copperas Pond,4272118,5/10/2018 9:28,Triplicate,Manual,16.1,1.36,,0,-16.17862892,4.809489727,0.418000013,12.72026157,4.29610014,11.88000011,79.73810577,888.6922607,2.444313765,,,,,,,4.040576458,0,1.24000001,4.69794178,6.666050434,15.4028616,5.452621937,14.21000004,5.58589983,3.011904716,1.610000014,0.465000004
USGS Watersheds Group,ALTM,106415-03,64422,20138,East Copperas Pond,4272118,5/10/2018 9:31,Triplicate,Manual,16.1,1.36,,0,-29.67982483,4.824357033,0.698000014,12.89968681,4.254600048,8.350000381,78.37263489,902.1054688,2.439902067,,,,,,,4.048532963,0,1.279999971,4.699379921,6.44448328,15.40380859,5.252709866,14.28999996,5.57490015,4.058836937,1.779999971,0.467000008
USGS Watersheds Group,ALTM,106484-01,64740,20138,East Copperas Pond,4272118,7/17/2018 9:30,Regular,Manual,23.1,0.82,1802372,0,-34.9288826,4.765427113,2.529999971,10.7982893,4.475999832,,104.8160172,871.8571167,3.583784103,,,,,,,4.112843037,0.210500002,1.059999943,4.724823952,7.127171993,2.2488904,6.073369503,12.72999954,5.744999886,2.201831579,1.940000057,0.375
USGS Watersheds Group,ALTM,106567-01,65012,20138,East Copperas Pond,4272118,9/4/2018 9:10,Regular,Manual,21.5,0.8,1803195,0,-22.77549553,4.837988853,0.317999989,10.86745453,4.027299881,6.059999943,123.1831665,852.5241089,3.738012075,,,,,,,4.346063614,0,1.5,4.738667965,5.867648125,1.489305139,8.244673729,12.72999954,6.836999893,2.132478237,2.160000086,0.358999997
USGS Watersheds Group,ALTM,106684-01,65434,20138,East Copperas Pond,4272118,11/27/2018 10:35,Regular,Manual,0.1,,1900267,0,-3.102834702,4.435591698,21.29999924,15.34148216,4.194200039,,155.1383514,1069.249878,2.518446207,,,,,,,4.687630653,0.927999973,1.710000038,4.794778824,6.170083523,22.8607235,5.69081831,14.69999981,7.916200161,2.396906614,2.299999952,0.531000018
USGS Watersheds Group,ALTM,106735-01,65560,20138,East Copperas Pond,4272118,2/7/2019 12:15,Regular,Manual,1,,1900651,0,-0.0677137,4.372908592,16.29999924,15.35491467,5.261300087,,180.7241516,1175.847656,2.768870115,,,,,,,4.690854073,2.822099924,1.629999995,4.801447392,6.003456116,19.71175194,5.720461845,15.89000034,8.224399567,3.254406691,2.160000086,0.546000004
USGS Watersheds Group,ALTM,106797-01,65815,20138,East Copperas Pond,4272118,4/15/2019 8:55,Regular,Manual,2.1,1.24,1901204,0,-44.45547867,4.42410326,8.380000114,6.547311306,4.158199787,,230.0057526,1142.277222,2.543750763,,,,,,,2.240260601,3.926199913,1.870000005,4.396772385,2.802442074,14.57647991,4.124042988,23.10000038,5.739500046,2.153790712,2.059999943,0.63499999
USGS Watersheds Group,ALTM,106848-01,65980,20138,East Copperas Pond,4272118,5/16/2019 12:53,Regular,Manual,15,1.22,1901431,0,-34.70396042,4.727474213,0.879000008,10.98813248,4.409900188,,30.33994484,801.3692017,1.988407969,,,,,,,3.440340757,0,1.50999999,4.703873634,4.099070549,2.085500002,4.653251171,13.85999966,5.764800072,1.938204288,1.820000052,0.418000013
USGS Watersheds Group,ALTM,106890-01,66195,20138,East Copperas Pond,4272118,7/2/2019 8:42,Regular,Manual,22.1,1.1,1901791,0,-29.47940063,4.732696533,0.606999993,10.77923012,3.439199924,,127.1629944,920.239502,1.837626219,,,,,,,3.955023527,0,1.519999981,4.647611141,5.024885178,1.169702291,5.073237896,14.80000019,4.626299858,2.012701273,1.879999995,0.442000002
USGS Watersheds Group,ALTM,107009-03,66534,20138,East Copperas Pond,4272118,9/19/2019 12:15,Regular,Manual,19.8,1.06,1902685,0,-15.49256611,4.794744492,0.689999998,11.02941036,5.15500021,,59.68076706,912.1549072,2.401605844,,,,,,,3.98478055,0,1.570000052,4.733808994,4.66427803,0.952724993,5.979687214,13.77999973,5.790800095,2.00241065,2.059999943,0.423999995
USGS Watersheds Group,ALTM,107089-01,66718,20138,East Copperas Pond,4272118,11/6/2019 12:50,Regular,Manual,7.1,1.22,2000381,0,30.93320274,4.905333042,18.89999962,15.11837959,5.215600014,,206.1850586,1128.439453,2.477154493,,,,,,,4.512841225,0.343800008,2.579999924,4.787716389,5.401682854,25.08639145,5.331858158,14.82999992,6.720799923,2.701425076,3.019999981,0.574000001
USGS Watersheds Group,ALTM,107138-01,67004,20138,East Copperas Pond,4272118,2/6/2020 10:05,Regular,Manual,0,,2000925,0,,,,13.79888535,5.381899834,,101.7603683,1000.385559,,,,,,,,4.990738392,2.322299957,3.210000038,,5.774077892,15.57085419,6.178527832,,6.403600216,2.425785542,3.779999971,0.50999999
USGS Watersheds Group,ALTM,106484-04,64744,20143,Middle Pond,4272100,7/17/2018 13:05,Regular,Manual,26.4,,1802375,0,91.93813324,6.440167427,1.019999981,59.48208237,13.90030003,,130.4933929,482.400116,2.364066601,,,,,,,20.39515114,0.251100004,-0.395000011,6.266744614,7.842831135,36.46323776,43.69329834,22.70000076,32.38389969,1.823459029,0.317000002,0.147
USGS Watersheds Group,ALTM,106936-01,66329,20143,Middle Pond,4272100,7/25/2019 8:30,Regular,Manual,23.3,,1902057,,116.243515,7.154425621,1.029999971,67.60897827,14.80500031,,178.709259,541.2149658,0.686615348,,,,,,,21.32870865,0,0.404000014,6.607406616,6.268251896,48.52578735,45.18374252,22.39999962,24.13619995,1.223903894,0.652999997,0.218999997
USGS Watersheds Group,ALTM,106484-02,64742,20188,Sunday Pond,4272255,7/17/2018 11:25,Regular,Kemmerer,25.2,,1802373,0.5,-7.611977577,5.497824192,0.493999988,8.081438065,4.436699867,,12.33080578,268.0805359,1.78882277,,,,,,,5.041925907,0,-0.714999974,5.228487492,6.168271065,0.371741652,2.976872206,6.369999886,12.37660027,0.715014279,0.082900003,0.025
